#OTUId	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD	taxonomy
OTU_43	135	315	99	218	255	194	96	174	14	60	304	89	117	240	89	64	117	34	107	160	264	59	143	172	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_14	420	291	626	222	479	488	141	288	529	279	72	221	29	272	430	437	100	544	612	819	309	290	507	256	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter;
OTU_72	50	70	8	48	53	12	49	120	21	41	120	44	143	31	71	97	59	38	113	49	47	24	92	50	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_77	20	0	1	0	0	0	125	190	63	75	0	171	24	0	84	79	0	40	72	0	0	0	50	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_66	16	44	31	32	86	63	6	17	0	9	59	11	18	48	5	14	24	8	7	68	68	70	12	47	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Clostridium IV;
OTU_96	40	1	4	7	34	1	52	8	8	19	2	45	18	0	170	47	21	85	12	28	14	5	12	25	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella;
OTU_101	17	103	21	136	69	47	34	15	1	17	182	18	42	133	17	24	181	2	30	59	118	137	30	96	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
OTU_69	12	0	2	0	16	0	9	22	92	26	0	9	13	0	54	87	0	32	135	15	6	3	95	46	Bacteria;Proteobacteria;Deltaproteobacteria;;;;
OTU_89	35	13	18	32	138	50	5	80	28	10	53	4	3	31	17	20	12	11	81	9	42	56	291	143	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_79	15	3	72	1	25	50	12	346	17	14	4	26	14	7	29	17	7	22	7	20	10	18	54	17	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_74	13	22	32	134	25	79	14	23	3	8	125	10	11	32	17	12	23	6	28	20	47	90	16	17	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_136	42	0	0	0	0	0	1	0	0	17	0	5	3	0	90	16	0	182	0	0	0	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_87	21	11	24	34	8	32	22	45	10	41	55	40	31	16	84	31	68	14	94	10	14	17	131	23	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_70	11	1	706	7	2	200	160	2	0	63	0	36	27	0	23	4	0	39	0	84	47	7	0	5	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;
